ID,ID_HECHO,FECHA,ACUSADO
1,2016-0001,2016-01-01,AUTO
2,2016-0002,2016-01-02,PASAJEROS
3,2016-0003,2016-01-03,AUTO
4,2016-0004,2016-01-10,
5,2016-0005,2016-01-21,PASAJEROS
6,2016-0008,2016-01-24,OBJETO FIJO
7,2016-0009,2016-01-24,AUTO
8,2016-0010,2016-01-29,AUTO
9,2016-0012,2016-02-08,CARGAS
10,2016-0013,2016-02-10,AUTO
11,2016-0015,2016-02-14,AUTO
12,2016-0016,2016-02-14,AUTO
13,2016-0017,2016-02-15,MOTO
14,2016-0019,2016-02-17,PASAJEROS
15,2016-0020,2016-02-17,AUTO
16,2016-0021,2016-02-17,AUTO
17,2016-0022,2016-02-21,AUTO
18,2016-0025,2016-02-28,AUTO
19,2016-0026,2016-02-28,OBJETO FIJO
20,2016-0027,2016-02-28,AUTO
21,2016-0028,2016-03-02,CARGAS
22,2016-0029,2016-03-04,PASAJEROS
23,2016-0031,2016-03-08,PASAJEROS
24,2016-0034,2016-03-12,PASAJEROS
25,2016-0035,2016-03-13,PASAJEROS
26,2016-0036,2016-03-14,PASAJEROS
27,2016-0037,2016-03-19,MOTO
28,2016-0038,2016-03-21,PASAJEROS
29,2016-0039,2016-03-23,PASAJEROS
30,2016-0041,2016-03-29,CARGAS
31,2016-0043,2016-03-30,CARGAS
32,2016-0044,2016-03-31,MULTIPLE
33,2016-0045,2016-04-11,
34,2016-0047,2016-04-15,PASAJEROS
35,2016-0048,2016-04-15,PASAJEROS
36,2016-0049,2016-04-17,
37,2016-0050,2016-04-19,PASAJEROS
38,2016-0051,2016-04-20,CARGAS
39,2016-0052,2016-04-20,
40,2016-0053,2016-04-22,PASAJEROS
41,2016-0054,2016-04-23,MOTO
42,2016-0055,2016-04-25,CARGAS
43,2016-0056,2016-04-26,OBJETO FIJO
44,2016-0058,2016-05-04,MOTO
45,2016-0059,2016-05-08,PASAJEROS
46,2016-0064,2016-05-14,PASAJEROS
47,2016-0065,2016-05-20,AUTO
48,2016-0067,2016-05-21,PASAJEROS
49,2016-0068,2016-05-22,PASAJEROS
50,2016-0069,2016-05-23,CARGAS
51,2016-0073,2016-06-11,CARGAS
52,2016-0074,2016-06-12,AUTO
53,2016-0075,2016-06-12,AUTO
54,2016-0076,2016-06-13,PASAJEROS
55,2016-0077,2016-06-13,PASAJEROS
56,2016-0078,2016-06-13,MOTO
57,2016-0079,2016-06-16,AUTO
58,2016-0080,2016-06-18,
59,2016-0081,2016-06-22,AUTO
60,2016-0082,2016-06-27,AUTO
61,2016-0083,2016-06-28,MOTO
62,2016-0084,2016-06-29,PASAJEROS
63,2016-0085,2016-06-29,OTRO
64,2016-0086,2016-06-30,PASAJEROS
65,2016-0087,2016-07-02,OBJETO FIJO
66,2016-0088,2016-07-11,AUTO
67,2016-0089,2016-07-14,AUTO
68,2016-0090,2016-07-14,PASAJEROS
69,2016-0092,2016-07-15,CARGAS
70,2016-0093,2016-07-17,AUTO
71,2016-0095,2016-07-23,AUTO
72,2016-0096,2016-07-25,CARGAS
73,2016-0097,2016-07-26,AUTO
74,2016-0098,2016-07-27,CARGAS
75,2016-0099,2016-07-29,CARGAS
76,2016-0100,2016-08-03,OBJETO FIJO
77,2016-0101,2016-08-07,
78,2016-0102,2016-08-10,CARGAS
79,2016-0104,2016-08-14,PASAJEROS
80,2016-0105,2016-08-17,PASAJEROS
81,2016-0106,2016-08-19,PASAJEROS
82,2016-0107,2016-08-20,AUTO
83,2016-0109,2016-08-24,OBJETO FIJO
84,2016-0110,2016-08-24,
85,2016-0111,2016-08-25,CARGAS
86,2016-0112,2016-08-27,OBJETO FIJO
87,2016-0113,2016-08-27,PASAJEROS
88,2016-0114,2016-08-31,CARGAS
89,2016-0115,2016-09-02,CARGAS
90,2016-0116,2016-09-02,AUTO
91,2016-0117,2016-09-03,AUTO
92,2016-0118,2016-09-04,AUTO
93,2016-0119,2016-09-04,
94,2016-0122,2016-09-13,PASAJEROS
95,2016-0123,2016-09-14,AUTO
96,2016-0124,2016-09-16,PASAJEROS
97,2016-0125,2016-09-17,MOTO
98,2016-0126,2016-09-18,CARGAS
99,2016-0127,2016-09-24,PASAJEROS
100,2016-0128,2016-10-02,PASAJEROS
101,2016-0130,2016-10-04,CARGAS
102,2016-0131,2016-10-09,AUTO
103,2016-0132,2016-10-10,PASAJEROS
104,2016-0133,2016-10-14,AUTO
105,2016-0134,2016-10-23,OBJETO FIJO
106,2016-0135,2016-10-24,
107,2016-0136,2016-10-25,CARGAS
108,2016-0137,2016-10-25,MOTO
109,2016-0138,2016-10-27,CARGAS
110,2016-0139,2016-10-28,MOTO
111,2016-0140,2016-10-31,PASAJEROS
112,2016-0142,2016-11-05,PASAJEROS
113,2016-0143,2016-11-06,
114,2016-0144,2016-11-07,PASAJEROS
115,2016-0145,2016-11-07,AUTO
116,2016-0146,2016-11-09,PASAJEROS
117,2016-0147,2016-11-16,PASAJEROS
118,2016-0148,2016-11-16,MOTO
119,2016-0150,2016-11-18,CARGAS
120,2016-0151,2016-11-18,
121,2016-0152,2016-11-23,AUTO
122,2016-0153,2016-11-25,MOTO
123,2016-0154,2016-11-26,MOTO
124,2016-0155,2016-11-26,AUTO
125,2016-0156,2016-11-26,PASAJEROS
126,2016-0157,2016-12-03,MOTO
127,2016-0159,2016-12-04,
128,2016-0160,2016-12-06,OBJETO FIJO
129,2016-0161,2016-12-06,PASAJEROS
130,2016-0162,2016-12-07,AUTO
131,2016-0163,2016-12-10,AUTO
