ID,ID_HECHO,FECHA,CRUCE,SEMAFORO
1,2016-0001,2016-01-01,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",False
2,2016-0002,2016-01-02,DE LOS CORRALES AV.,False
3,2016-0003,2016-01-03,,False
4,2016-0004,2016-01-10,"VILLEGAS, CONRADO, GRAL.",False
5,2016-0005,2016-01-21,"SAENZ PE?A, LUIS, PRES.",False
6,2016-0008,2016-01-24,ESCALADA AV.,False
7,2016-0009,2016-01-24,"GONZALEZ, JOAQUIN V.",False
8,2016-0010,2016-01-29,DE LOS CORRALES AV.,False
9,2016-0012,2016-02-08,"IRIGOYEN, BERNARDO DE",False
10,2016-0013,2016-02-10,,False
11,2016-0015,2016-02-14,VERA,False
12,2016-0016,2016-02-14,"QUINQUELA MARTIN, BENITO",False
13,2016-0017,2016-02-15,"JANER, ANA MARIA",False
14,2016-0019,2016-02-17,"GARCIA GRANDE DE ZEQUEIRA, SEVERO",False
15,2016-0020,2016-02-17,,False
16,2016-0021,2016-02-17,CURAPALIGUE,False
17,2016-0022,2016-02-21,"ALSINA, ADOLFO",False
18,2016-0025,2016-02-28,27 DE FEBRERO AV.,False
19,2016-0026,2016-02-28,VEDIA,False
20,2016-0027,2016-02-28,"DIAZ, AVELINO",False
21,2016-0028,2016-03-02,9 DE JULIO AV.,False
22,2016-0029,2016-03-04,DEHEZA,False
23,2016-0031,2016-03-08,"ROCA, CNEL. AV.",False
24,2016-0034,2016-03-12,"BONAVENA, OSCAR NATALIO",False
25,2016-0035,2016-03-13,CALLAO AV.,False
26,2016-0036,2016-03-14,"VALLE, ARISTOBULO DEL",False
27,2016-0037,2016-03-19,QUIRNO,False
28,2016-0038,2016-03-21,ZUVIRIA,False
29,2016-0039,2016-03-23,PUEYRREDON AV.,False
30,2016-0041,2016-03-29,RIVERA INDARTE AV.,False
31,2016-0043,2016-03-30,MURGUIONDO,False
32,2016-0044,2016-03-31,BALBASTRO,False
33,2016-0045,2016-04-11,DEL LIBERTADOR AV.,False
34,2016-0047,2016-04-15,,False
35,2016-0048,2016-04-15,DORREGO AV.,False
36,2016-0049,2016-04-17,,False
37,2016-0050,2016-04-19,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",False
38,2016-0051,2016-04-20,"BONAVENA, OSCAR NATALIO",False
39,2016-0052,2016-04-20,,False
40,2016-0053,2016-04-22,OLAZABAL AV.,False
41,2016-0054,2016-04-23,"PAZ, GRAL. AV.",True
42,2016-0055,2016-04-25,"FIGUEROA ALCORTA, PRES. AV.",False
43,2016-0056,2016-04-26,,False
44,2016-0058,2016-05-04,,False
45,2016-0059,2016-05-08,LIMA,False
46,2016-0064,2016-05-14,CARRASCO AV.,False
47,2016-0065,2016-05-20,ESPINOSA,False
48,2016-0067,2016-05-21,SARAZA,False
49,2016-0068,2016-05-22,PUEYRREDON AV.,False
50,2016-0069,2016-05-23,FILIBERTO,False
51,2016-0073,2016-06-11,,False
52,2016-0074,2016-06-12,"SCAPINO, RODOLFO",False
53,2016-0075,2016-06-12,MIRALLA,False
54,2016-0076,2016-06-13,CAMARONES,False
55,2016-0077,2016-06-13,"ALEM, LEANDRO N. AV.",False
56,2016-0078,2016-06-13,JUJUY AV.,False
57,2016-0079,2016-06-16,"UDAONDO, GUILLERMO AV.",False
58,2016-0080,2016-06-18,RIVADAVIA AV.,False
59,2016-0081,2016-06-22,MACHAIN,False
60,2016-0082,2016-06-27,,False
61,2016-0083,2016-06-28,PUAN,False
62,2016-0084,2016-06-29,TUCUMAN,False
63,2016-0085,2016-06-29,EREZCANO,False
64,2016-0086,2016-06-30,"FALCON, RAMON L.,CNEL.",False
65,2016-0087,2016-07-02,,False
66,2016-0088,2016-07-11,NU?EZ,False
