ID,ID_HECHO,FECHA,N_VICTIMAS
1,2016-0001,2016-01-01,1
2,2016-0002,2016-01-02,1
3,2016-0003,2016-01-03,1
4,2016-0004,2016-01-10,1
5,2016-0005,2016-01-21,1
6,2016-0008,2016-01-24,1
7,2016-0009,2016-01-24,1
8,2016-0010,2016-01-29,1
9,2016-0012,2016-02-08,1
10,2016-0013,2016-02-10,1
11,2016-0015,2016-02-14,1
12,2016-0016,2016-02-14,1
13,2016-0017,2016-02-15,1
14,2016-0019,2016-02-17,1
15,2016-0020,2016-02-17,1
16,2016-0021,2016-02-17,1
17,2016-0022,2016-02-21,1
18,2016-0025,2016-02-28,1
19,2016-0026,2016-02-28,1
20,2016-0027,2016-02-28,1
21,2016-0028,2016-03-02,1
22,2016-0029,2016-03-04,1
23,2016-0031,2016-03-08,1
24,2016-0034,2016-03-12,1
25,2016-0035,2016-03-13,1
26,2016-0036,2016-03-14,1
27,2016-0037,2016-03-19,1
28,2016-0038,2016-03-21,1
29,2016-0039,2016-03-23,1
30,2016-0041,2016-03-29,2
31,2016-0043,2016-03-30,1
32,2016-0044,2016-03-31,1
33,2016-0045,2016-04-11,1
34,2016-0047,2016-04-15,1
35,2016-0048,2016-04-15,1
36,2016-0049,2016-04-17,1
37,2016-0050,2016-04-19,1
38,2016-0051,2016-04-20,1
39,2016-0052,2016-04-20,1
40,2016-0053,2016-04-22,1
41,2016-0054,2016-04-23,1
42,2016-0055,2016-04-25,1
43,2016-0056,2016-04-26,1
44,2016-0058,2016-05-04,1
45,2016-0059,2016-05-08,1
46,2016-0064,2016-05-14,1
47,2016-0065,2016-05-20,1
48,2016-0067,2016-05-21,1
49,2016-0068,2016-05-22,1
50,2016-0069,2016-05-23,1
51,2016-0073,2016-06-11,1
52,2016-0074,2016-06-12,1
53,2016-0075,2016-06-12,1
54,2016-0076,2016-06-13,1
55,2016-0077,2016-06-13,1
56,2016-0078,2016-06-13,1
57,2016-0079,2016-06-16,1
58,2016-0080,2016-06-18,1
59,2016-0081,2016-06-22,1
60,2016-0082,2016-06-27,1
61,2016-0083,2016-06-28,1
62,2016-0084,2016-06-29,1
63,2016-0085,2016-06-29,1
64,2016-0086,2016-06-30,1
65,2016-0087,2016-07-02,1
66,2016-0088,2016-07-11,1
67,2016-0089,2016-07-14,1
68,2016-0090,2016-07-14,1
69,2016-0092,2016-07-15,1
70,2016-0093,2016-07-17,1
71,2016-0095,2016-07-23,1
72,2016-0096,2016-07-25,1
73,2016-0097,2016-07-26,1
74,2016-0098,2016-07-27,1
75,2016-0099,2016-07-29,1
76,2016-0100,2016-08-03,1
77,2016-0101,2016-08-07,1
78,2016-0102,2016-08-10,1
79,2016-0104,2016-08-14,1
80,2016-0105,2016-08-17,1
81,2016-0106,2016-08-19,1
82,2016-0107,2016-08-20,1
83,2016-0109,2016-08-24,1
84,2016-0110,2016-08-24,1
85,2016-0111,2016-08-25,1
86,2016-0112,2016-08-27,1
87,2016-0113,2016-08-27,1
88,2016-0114,2016-08-31,1
89,2016-0115,2016-09-02,1
90,2016-0116,2016-09-02,1
91,2016-0117,2016-09-03,1
92,2016-0118,2016-09-04,1
93,2016-0119,2016-09-04,1
94,2016-0122,2016-09-13,1
95,2016-0123,2016-09-14,1
96,2016-0124,2016-09-16,1
97,2016-0125,2016-09-17,1
98,2016-0126,2016-09-18,2
99,2016-0127,2016-09-24,1
100,2016-0128,2016-10-02,1
101,2016-0130,2016-10-04,1
102,2016-0131,2016-10-09,1
103,2016-0132,2016-10-10,1
104,2016-0133,2016-10-14,1
105,2016-0134,2016-10-23,1
106,2016-0135,2016-10-24,1
107,2016-0136,2016-10-25,1
108,2016-0137,2016-10-25,1
109,2016-0138,2016-10-27,1
110,2016-0139,2016-10-28,1
111,2016-0140,2016-10-31,1
112,2016-0142,2016-11-05,1
113,2016-0143,2016-11-06,1
114,2016-0144,2016-11-07,1
115,2016-0145,2016-11-07,1
116,2016-0146,2016-11-09,1
117,2016-0147,2016-11-16,1
118,2016-0148,2016-11-16,1
119,2016-0150,2016-11-18,1
120,2016-0151,2016-11-18,1
121,2016-0152,2016-11-23,1
122,2016-0153,2016-11-25,1
123,2016-0154,2016-11-26,1
124,2016-0155,2016-11-26,1
125,2016-0156,2016-11-26,1
126,2016-0157,2016-12-03,1
127,2016-0159,2016-12-04,1
128,2016-0160,2016-12-06,1
129,2016-0161,2016-12-06,1
130,2016-0162,2016-12-07,1
131,2016-0163,2016-12-10,1
132,2016-0164,2016-12-11,1
133,2016-0165,2016-12-12,1
134,2016-0168,2016-12-13,1
135,2016-0169,2016-12-15,1
136,2016-0170,2016-12-19,1
137,2016-0171,2016-12-25,1
138,2016-0172,2016-12-26,1
139,2016-0173,2016-12-26,1
140,2016-0174,2016-12-27,1
141,2016-0175,2016-12-27,1
142,2016-0176,2016-12-28,1
143,2016-0177,2016-12-29,1
144,2016-0178,2016-12-30,1
145,2017-0001,2017-01-02,1
146,2017-0003,2017-01-05,1
147,2017-0007,2017-01-11,1
148,2017-0008,2017-01-16,1
149,2017-0009,2017-01-16,1
150,2017-0010,2017-01-16,1
151,2017-0011,2017-01-22,1
152,2017-0012,2017-01-24,1
153,2017-0013,2017-01-27,1
154,2017-0014,2017-01-28,1
155,2017-0015,2017-02-02,1
156,2017-0016,2017-02-03,1
157,2017-0017,2017-02-06,1
158,2017-0018,2017-02-09,1
159,2017-0021,2017-02-18,1
160,2017-0024,2017-02-23,1
161,2017-0025,2017-02-24,1
162,2017-0026,2017-02-26,2
163,2017-0027,2017-02-26,1
164,2017-0028,2017-02-28,1
165,2017-0029,2017-03-07,1
166,2017-0030,2017-03-07,1
167,2017-0031,2017-03-11,1
168,2017-0032,2017-03-12,1
169,2017-0033,2017-03-12,1
170,2017-0034,2017-03-13,1
171,2017-0035,2017-03-23,3
172,2017-0036,2017-03-29,2
173,2017-0037,2017-03-31,1
174,2017-0038,2017-04-01,1
175,2017-0040,2017-04-03,1
176,2017-0041,2017-04-03,1
177,2017-0042,2017-04-10,1
178,2017-0045,2017-04-14,1
179,2017-0047,2017-04-23,1
180,2017-0049,2017-04-27,1
181,2017-0050,2017-04-28,2
182,2017-0051,2017-05-01,1
183,2017-0052,2017-05-05,1
184,2017-0053,2017-05-05,1
185,2017-0054,2017-05-07,1
186,2017-0055,2017-05-09,1
187,2017-0058,2017-05-09,1
188,2017-0059,2017-05-11,1
189,2017-0060,2017-05-13,1
190,2017-0061,2017-05-15,1
191,2017-0062,2017-05-15,1
192,2017-0063,2017-05-17,1
193,2017-0064,2017-05-20,1
194,2017-0065,2017-05-22,1
195,2017-0066,2017-05-22,1
196,2017-0067,2017-05-23,1
197,2017-0068,2017-05-27,1
198,2017-0069,2017-05-24,1
199,2017-0070,2017-05-30,1
200,2017-0072,2017-06-03,1
201,2017-0073,2017-06-04,1
202,2017-0074,2017-06-04,1
203,2017-0075,2017-06-12,1
204,2017-0076,2017-06-13,1
205,2017-0077,2017-06-17,1
206,2017-0079,2017-06-19,1
207,2017-0080,2017-06-22,1
208,2017-0082,2017-06-25,1
209,2017-0083,2017-07-04,1
210,2017-0084,2017-07-05,1
211,2017-0085,2017-07-07,1
212,2017-0086,2017-07-09,1
213,2017-0087,2017-07-10,1
214,2017-0088,2017-07-10,1
215,2017-0089,2017-07-13,1
216,2017-0090,2017-07-15,1
217,2017-0091,2017-07-15,1
218,2017-0092,2017-07-24,1
219,2017-0093,2017-07-25,1
220,2017-0094,2017-07-27,1
221,2017-0095,2017-08-06,1
222,2017-0096,2017-08-07,1
223,2017-0098,2017-08-08,1
224,2017-0099,2017-08-17,1
225,2017-0100,2017-08-21,1
226,2017-0101,2017-08-23,1
227,2017-0102,2017-08-24,1
228,2017-0104,2017-08-25,1
229,2017-0106,2017-08-31,1
230,2017-0107,2017-09-01,1
231,2017-0108,2017-09-02,2
232,2017-0109,2017-09-04,1
233,2017-0110,2017-09-06,1
234,2017-0111,2017-09-07,1
235,2017-0112,2017-09-10,2
