ID_HECHO,FECHA,ACUSADO,VICTIMA
2016-0001,2016-01-01,AUTO,MOTO
2016-0002,2016-01-02,PASAJEROS,AUTO
2016-0003,2016-01-03,AUTO,MOTO
2016-0004,2016-01-10,,MOTO
2016-0005,2016-01-21,PASAJEROS,MOTO
2016-0008,2016-01-24,OBJETO FIJO,MOTO
2016-0009,2016-01-24,AUTO,MOTO
2016-0010,2016-01-29,AUTO,MOTO
2016-0012,2016-02-08,CARGAS,MOTO
2016-0013,2016-02-10,AUTO,PEATON
2016-0015,2016-02-14,AUTO,PEATON
2016-0016,2016-02-14,AUTO,MOTO
2016-0017,2016-02-15,MOTO,PEATON
2016-0019,2016-02-17,PASAJEROS,PEATON
2016-0020,2016-02-17,AUTO,PEATON
2016-0021,2016-02-17,AUTO,AUTO
2016-0022,2016-02-21,AUTO,MOTO
2016-0025,2016-02-28,AUTO,AUTO
2016-0026,2016-02-28,OBJETO FIJO,AUTO
2016-0027,2016-02-28,AUTO,AUTO
2016-0028,2016-03-02,CARGAS,PEATON
2016-0029,2016-03-04,PASAJEROS,PEATON
2016-0031,2016-03-08,PASAJEROS,MOTO
2016-0034,2016-03-12,PASAJEROS,PEATON
2016-0035,2016-03-13,PASAJEROS,MOTO
2016-0036,2016-03-14,PASAJEROS,MOTO
2016-0037,2016-03-19,MOTO,MOTO
2016-0038,2016-03-21,PASAJEROS,PEATON
2016-0039,2016-03-23,PASAJEROS,MOTO
2016-0041,2016-03-29,CARGAS,MOTO
2016-0041,2016-03-29,CARGAS,MOTO
2016-0043,2016-03-30,CARGAS,PEATON
2016-0044,2016-03-31,MULTIPLE,MOTO
2016-0045,2016-04-11,,MOTO
2016-0047,2016-04-15,PASAJEROS,PEATON
2016-0048,2016-04-15,PASAJEROS,PEATON
2016-0049,2016-04-17,,
2016-0050,2016-04-19,PASAJEROS,PEATON
2016-0051,2016-04-20,CARGAS,MOTO
2016-0052,2016-04-20,,MOTO
2016-0053,2016-04-22,PASAJEROS,PEATON
2016-0054,2016-04-23,MOTO,MOTO
2016-0055,2016-04-25,CARGAS,PEATON
2016-0056,2016-04-26,OBJETO FIJO,MOTO
2016-0058,2016-05-04,MOTO,PEATON
2016-0059,2016-05-08,PASAJEROS,PEATON
2016-0064,2016-05-14,PASAJEROS,PEATON
2016-0065,2016-05-20,AUTO,PEATON
2016-0067,2016-05-21,PASAJEROS,MOTO
2016-0068,2016-05-22,PASAJEROS,MOTO
2016-0069,2016-05-23,CARGAS,AUTO
2016-0073,2016-06-11,CARGAS,MOTO
2016-0074,2016-06-12,AUTO,AUTO
2016-0075,2016-06-12,AUTO,PEATON
2016-0076,2016-06-13,PASAJEROS,PEATON
2016-0077,2016-06-13,PASAJEROS,PEATON
2016-0078,2016-06-13,MOTO,MOTO
2016-0079,2016-06-16,AUTO,AUTO
2016-0080,2016-06-18,,AUTO
2016-0081,2016-06-22,AUTO,MOTO
2016-0082,2016-06-27,AUTO,PEATON
2016-0083,2016-06-28,MOTO,PEATON
2016-0084,2016-06-29,PASAJEROS,PEATON
2016-0085,2016-06-29,OTRO,MOTO
2016-0086,2016-06-30,PASAJEROS,PEATON
2016-0087,2016-07-02,OBJETO FIJO,MOTO
2016-0088,2016-07-11,AUTO,PEATON
2016-0089,2016-07-14,AUTO,PEATON
2016-0090,2016-07-14,PASAJEROS,PEATON
2016-0092,2016-07-15,CARGAS,MOTO
2016-0093,2016-07-17,AUTO,AUTO
2016-0095,2016-07-23,AUTO,MOTO
2016-0096,2016-07-25,CARGAS,MOTO
2016-0097,2016-07-26,AUTO,PEATON
2016-0098,2016-07-27,CARGAS,MOTO
2016-0099,2016-07-29,CARGAS,CARGAS
2016-0100,2016-08-03,OBJETO FIJO,MOTO
2016-0101,2016-08-07,,
2016-0102,2016-08-10,CARGAS,MOTO
2016-0104,2016-08-14,PASAJEROS,MOTO
2016-0105,2016-08-17,PASAJEROS,PEATON
2016-0106,2016-08-19,PASAJEROS,PEATON
2016-0107,2016-08-20,AUTO,MOTO
2016-0109,2016-08-24,OBJETO FIJO,AUTO
2016-0110,2016-08-24,,PEATON
2016-0111,2016-08-25,CARGAS,MOTO
2016-0112,2016-08-27,OBJETO FIJO,MOTO
2016-0113,2016-08-27,PASAJEROS,PEATON
2016-0114,2016-08-31,CARGAS,BICICLETA
2016-0115,2016-09-02,CARGAS,
2016-0116,2016-09-02,AUTO,MOTO
2016-0117,2016-09-03,AUTO,AUTO
2016-0118,2016-09-04,AUTO,AUTO
2016-0119,2016-09-04,,
2016-0122,2016-09-13,PASAJEROS,BICICLETA
2016-0123,2016-09-14,AUTO,MOTO
2016-0124,2016-09-16,PASAJEROS,PEATON
2016-0125,2016-09-17,MOTO,MOTO
2016-0126,2016-09-18,CARGAS,AUTO
2016-0126,2016-09-18,CARGAS,AUTO
2016-0127,2016-09-24,PASAJEROS,PEATON
