ID,ID_HECHO,FECHA,ROL
1,2016-0001,2016-01-01,CONDUCTOR
2,2016-0002,2016-01-02,CONDUCTOR
3,2016-0003,2016-01-03,CONDUCTOR
4,2016-0004,2016-01-10,CONDUCTOR
5,2016-0005,2016-01-21,CONDUCTOR
6,2016-0008,2016-01-24,CONDUCTOR
7,2016-0009,2016-01-24,PASAJERO_ACOMPANANTE
8,2016-0010,2016-01-29,CONDUCTOR
9,2016-0012,2016-02-08,CONDUCTOR
10,2016-0013,2016-02-10,PEATON
11,2016-0015,2016-02-14,PEATON
12,2016-0016,2016-02-14,PASAJERO_ACOMPANANTE
13,2016-0017,2016-02-15,PEATON
14,2016-0019,2016-02-17,PEATON
15,2016-0020,2016-02-17,PEATON
16,2016-0021,2016-02-17,CONDUCTOR
17,2016-0022,2016-02-21,PASAJERO_ACOMPANANTE
18,2016-0025,2016-02-28,PASAJERO_ACOMPANANTE
19,2016-0026,2016-02-28,CONDUCTOR
20,2016-0027,2016-02-28,PASAJERO_ACOMPANANTE
21,2016-0028,2016-03-02,PEATON
22,2016-0029,2016-03-04,PEATON
23,2016-0031,2016-03-08,CONDUCTOR
24,2016-0034,2016-03-12,PEATON
25,2016-0035,2016-03-13,CONDUCTOR
26,2016-0036,2016-03-14,PASAJERO_ACOMPANANTE
27,2016-0037,2016-03-19,CONDUCTOR
28,2016-0038,2016-03-21,PEATON
29,2016-0039,2016-03-23,CONDUCTOR
30,2016-0041,2016-03-29,CONDUCTOR
31,2016-0041,2016-03-29,PASAJERO_ACOMPANANTE
32,2016-0043,2016-03-30,PEATON
33,2016-0044,2016-03-31,CONDUCTOR
34,2016-0045,2016-04-11,CONDUCTOR
35,2016-0047,2016-04-15,PEATON
36,2016-0048,2016-04-15,PEATON
37,2016-0049,2016-04-17,
38,2016-0050,2016-04-19,PEATON
39,2016-0051,2016-04-20,CONDUCTOR
40,2016-0052,2016-04-20,
41,2016-0053,2016-04-22,PEATON
42,2016-0054,2016-04-23,CONDUCTOR
43,2016-0055,2016-04-25,PEATON
44,2016-0056,2016-04-26,CONDUCTOR
45,2016-0058,2016-05-04,PEATON
46,2016-0059,2016-05-08,PEATON
47,2016-0064,2016-05-14,PEATON
48,2016-0065,2016-05-20,PEATON
49,2016-0067,2016-05-21,PASAJERO_ACOMPANANTE
50,2016-0068,2016-05-22,CONDUCTOR
51,2016-0069,2016-05-23,CONDUCTOR
52,2016-0073,2016-06-11,CONDUCTOR
53,2016-0074,2016-06-12,CONDUCTOR
54,2016-0075,2016-06-12,PEATON
55,2016-0076,2016-06-13,PEATON
56,2016-0077,2016-06-13,PEATON
