ID,ID_HECHO,AAAA,TEMPORADA
1,2016-0001,2016,Verano
2,2016-0002,2016,Verano
3,2016-0003,2016,Verano
4,2016-0004,2016,Verano
5,2016-0005,2016,Verano
6,2016-0008,2016,Verano
7,2016-0009,2016,Verano
8,2016-0010,2016,Verano
9,2016-0012,2016,Verano
10,2016-0013,2016,Verano
11,2016-0015,2016,Verano
12,2016-0016,2016,Verano
13,2016-0017,2016,Verano
14,2016-0019,2016,Verano
15,2016-0020,2016,Verano
16,2016-0021,2016,Verano
17,2016-0022,2016,Verano
18,2016-0025,2016,Verano
19,2016-0026,2016,Verano
20,2016-0027,2016,Verano
21,2016-0028,2016,Verano
22,2016-0029,2016,Verano
23,2016-0031,2016,Verano
24,2016-0034,2016,Verano
25,2016-0035,2016,Verano
26,2016-0036,2016,Verano
27,2016-0037,2016,Verano
28,2016-0038,2016,Otoño
29,2016-0039,2016,Otoño
30,2016-0041,2016,Otoño
31,2016-0043,2016,Otoño
32,2016-0044,2016,Otoño
33,2016-0045,2016,Verano
34,2016-0047,2016,Verano
35,2016-0048,2016,Verano
36,2016-0049,2016,Verano
37,2016-0050,2016,Verano
38,2016-0051,2016,Verano
39,2016-0052,2016,Verano
40,2016-0053,2016,Verano
41,2016-0054,2016,Verano
42,2016-0055,2016,Verano
43,2016-0056,2016,Verano
44,2016-0058,2016,Verano
45,2016-0059,2016,Verano
46,2016-0064,2016,Verano
47,2016-0065,2016,Verano
48,2016-0067,2016,Verano
49,2016-0068,2016,Verano
50,2016-0069,2016,Verano
51,2016-0073,2016,Otoño
52,2016-0074,2016,Otoño
53,2016-0075,2016,Otoño
54,2016-0076,2016,Otoño
55,2016-0077,2016,Otoño
56,2016-0078,2016,Otoño
57,2016-0079,2016,Otoño
58,2016-0080,2016,Otoño
59,2016-0081,2016,Invierno
60,2016-0082,2016,Invierno
61,2016-0083,2016,Invierno
62,2016-0084,2016,Invierno
63,2016-0085,2016,Invierno
64,2016-0086,2016,Invierno
65,2016-0087,2016,Verano
66,2016-0088,2016,Verano
67,2016-0089,2016,Verano
68,2016-0090,2016,Verano
69,2016-0092,2016,Verano
70,2016-0093,2016,Verano
71,2016-0095,2016,Verano
72,2016-0096,2016,Verano
73,2016-0097,2016,Verano
74,2016-0098,2016,Verano
75,2016-0099,2016,Verano
76,2016-0100,2016,Verano
77,2016-0101,2016,Verano
78,2016-0102,2016,Verano
79,2016-0104,2016,Verano
80,2016-0105,2016,Verano
81,2016-0106,2016,Verano
82,2016-0107,2016,Verano
83,2016-0109,2016,Verano
84,2016-0110,2016,Verano
85,2016-0111,2016,Verano
86,2016-0112,2016,Verano
87,2016-0113,2016,Verano
88,2016-0114,2016,Verano
89,2016-0115,2016,Invierno
90,2016-0116,2016,Invierno
91,2016-0117,2016,Invierno
92,2016-0118,2016,Invierno
93,2016-0119,2016,Invierno
94,2016-0122,2016,Invierno
95,2016-0123,2016,Invierno
96,2016-0124,2016,Invierno
97,2016-0125,2016,Invierno
98,2016-0126,2016,Invierno
99,2016-0127,2016,Primavera
100,2016-0128,2016,Verano
101,2016-0130,2016,Verano
102,2016-0131,2016,Verano
103,2016-0132,2016,Verano
104,2016-0133,2016,Verano
105,2016-0134,2016,Verano
106,2016-0135,2016,Verano
107,2016-0136,2016,Verano
108,2016-0137,2016,Verano
109,2016-0138,2016,Verano
110,2016-0139,2016,Verano
