ID,ID_HECHO,FECHA,TIPO_DE_CALLE
1,2016-0001,2016-01-01,AVENIDA
2,2016-0002,2016-01-02,AUTOPISTA
3,2016-0003,2016-01-03,AVENIDA
4,2016-0004,2016-01-10,AVENIDA
5,2016-0005,2016-01-21,AVENIDA
6,2016-0008,2016-01-24,AVENIDA
7,2016-0009,2016-01-24,CALLE
8,2016-0010,2016-01-29,AUTOPISTA
9,2016-0012,2016-02-08,AVENIDA
10,2016-0013,2016-02-10,AVENIDA
11,2016-0015,2016-02-14,AVENIDA
12,2016-0016,2016-02-14,AVENIDA
13,2016-0017,2016-02-15,AVENIDA
14,2016-0019,2016-02-17,CALLE
15,2016-0020,2016-02-17,CALLE
16,2016-0021,2016-02-17,AVENIDA
17,2016-0022,2016-02-21,AVENIDA
18,2016-0025,2016-02-28,AUTOPISTA
19,2016-0026,2016-02-28,CALLE
20,2016-0027,2016-02-28,AVENIDA
21,2016-0028,2016-03-02,AVENIDA
22,2016-0029,2016-03-04,AVENIDA
23,2016-0031,2016-03-08,AUTOPISTA
24,2016-0034,2016-03-12,AVENIDA
25,2016-0035,2016-03-13,AVENIDA
26,2016-0036,2016-03-14,CALLE
27,2016-0037,2016-03-19,AVENIDA
28,2016-0038,2016-03-21,AUTOPISTA
29,2016-0039,2016-03-23,AVENIDA
30,2016-0041,2016-03-29,AVENIDA
31,2016-0043,2016-03-30,AVENIDA
32,2016-0044,2016-03-31,AVENIDA
33,2016-0045,2016-04-11,AUTOPISTA
34,2016-0047,2016-04-15,CALLE
35,2016-0048,2016-04-15,AVENIDA
36,2016-0049,2016-04-17,AUTOPISTA
37,2016-0050,2016-04-19,AVENIDA
38,2016-0051,2016-04-20,AVENIDA
39,2016-0052,2016-04-20,AUTOPISTA
40,2016-0053,2016-04-22,AVENIDA
41,2016-0054,2016-04-23,AUTOPISTA
42,2016-0055,2016-04-25,AVENIDA
43,2016-0056,2016-04-26,AVENIDA
44,2016-0058,2016-05-04,CALLE
45,2016-0059,2016-05-08,CALLE
46,2016-0064,2016-05-14,AVENIDA
47,2016-0065,2016-05-20,AVENIDA
48,2016-0067,2016-05-21,AVENIDA
49,2016-0068,2016-05-22,AVENIDA
50,2016-0069,2016-05-23,AVENIDA
51,2016-0073,2016-06-11,CALLE
52,2016-0074,2016-06-12,AUTOPISTA
53,2016-0075,2016-06-12,AUTOPISTA
54,2016-0076,2016-06-13,AVENIDA
55,2016-0077,2016-06-13,AVENIDA
56,2016-0078,2016-06-13,AVENIDA
57,2016-0079,2016-06-16,AVENIDA
58,2016-0080,2016-06-18,AUTOPISTA
59,2016-0081,2016-06-22,AVENIDA
60,2016-0082,2016-06-27,AVENIDA
61,2016-0083,2016-06-28,AVENIDA
62,2016-0084,2016-06-29,CALLE
63,2016-0085,2016-06-29,AVENIDA
64,2016-0086,2016-06-30,AVENIDA
65,2016-0087,2016-07-02,AUTOPISTA
66,2016-0088,2016-07-11,CALLE
67,2016-0089,2016-07-14,AUTOPISTA
68,2016-0090,2016-07-14,AVENIDA
69,2016-0092,2016-07-15,AUTOPISTA
70,2016-0093,2016-07-17,AVENIDA
71,2016-0095,2016-07-23,AVENIDA
72,2016-0096,2016-07-25,AUTOPISTA
73,2016-0097,2016-07-26,CALLE
74,2016-0098,2016-07-27,AVENIDA
75,2016-0099,2016-07-29,AUTOPISTA
76,2016-0100,2016-08-03,AUTOPISTA
77,2016-0101,2016-08-07,AUTOPISTA
